Overall Rank,Model,Performance Score,Efficiency Score,Overall Score
1,Stack RF+AB+GB → LR,0.559637791117719,0.8080732674547896,0.6838555292862543
2,Stack RF+AB+GB → GB,0.6851389440444039,0.537333003560672,0.6112359738025379
3,Soft Voting (All 5),0.5887898884723061,0.5060064042044219,0.5473981463383639
4,Hard Voting (All 5),0.3033847484909317,0.5854091926218641,0.44439697055639793
5,Stack All 5 → GB,0.7015579188538997,0.18300382517241637,0.442280872013158
6,Stack All 5 → LR,0.5770743128811745,0.21634995900171297,0.3967121359414437
