Model,Features,Accuracy,Precision,Recall,F1,Specificity,False Positive Rate,ROC-AUC,CPU Usage (%),RAM Usage (MB),Training Time (s),Prediction Time (s),Model Size (MB)
Hard_Voting,145,0.9303355786152072,0.9621804599042839,0.9091209881989633,0.9348984915504139,0.956287101996762,0.04371289800323799,,77.0,193.06640625,27.542171478271484,7.740992307662964,258.9584197998047
Soft_Voting,145,0.9341586261302264,0.9573687829475132,0.9213631851770155,0.9390209633001743,0.9498111171073934,0.05018888289260658,0.9843986804832596,69.25,9.85546875,35.63104701042175,0.8573193550109863,112.24143123626709
Stacking_Top3_LR,145,0.9336124764852236,0.950808549134909,0.9273188485717437,0.9389168062534897,0.9413113869400972,0.05868861305990286,0.9842989254129075,61.150000000000006,334.71875,372.3857262134552,1.3906385898590088,112.24224948883057
Stacking_Top3_GB,145,0.93312701013411,0.9655172413793104,0.910995919267674,0.937464532970151,0.9601996762007555,0.03980032379924447,0.985445692083834,72.95,122.5546875,351.2862956523895,0.9577736854553223,112.37570285797119
Stacking_Top3_RF,145,0.927422780508526,0.957669496453076,0.9082386676960406,0.932299332050266,0.9508904479222882,0.04910955207771182,0.9800137651283535,55.2,117.5625,484.4918818473816,1.5421745777130127,175.08873081207275
Stacking_All_LR,145,0.9339158929546696,0.951857725419121,0.926767398257417,0.9391450125733445,0.9426605504587156,0.05733944954128441,0.9842826170064182,58.55,175.7734375,367.46387934684753,9.171417474746704,259.0951805114746
Stacking_All_GB,145,0.9336731597791128,0.9653361344537815,0.9122091099591927,0.9380209810036858,0.9599298434970318,0.04007015650296816,0.9855306490608887,64.0,392.38671875,391.21182918548584,8.756409406661987,259.229305267334
Stacking_All_RF,145,0.929607379088537,0.9543730605677508,0.9158486820337488,0.934714092751013,0.9464382083108472,0.053561791689152725,0.9809445198129582,62.3,118.484375,341.1751027107239,9.157217264175415,320.545467376709
