Model,Accuracy,Precision,Recall,F1,Specificity,FPR,ROC_AUC,CPU_Usage,RAM_Usage_MB,Training_Time,Prediction_Time,Model_Size_MB
Random Forest,0.9322280925487338,0.9499717034521789,0.9256644976287637,0.9376605965813876,0.9402702702702703,0.05972972972972973,0.9329673839495171,57.7,33.45703125,8.58999228477478,0.3348085880279541,52.54471683502197
Gradient Boosting,0.9204469545150908,0.9591570971942701,0.893570089334951,0.9252026949868677,0.9533783783783784,0.046621621621621624,0.9234742338566646,59.1,-7.19921875,8.918242931365967,0.039536237716674805,0.13413238525390625
KNN,0.9074512661687011,0.9347550432276657,0.8943421197750083,0.9141021305377072,0.9235135135135135,0.07648648648648648,0.9089278166442609,87.1,5.41796875,0.2833211421966553,1.2742877006530762,11.806432723999023
AdaBoost,0.8517641343292646,0.9414978678038379,0.7791992941435977,0.8526944662361957,0.9406756756756757,0.05932432432432432,0.8599374849096366,76.7,-8.6640625,3.3074989318847656,0.2107703685760498,0.031833648681640625
Naive Bayes,0.5117507742758244,0.7634684453565931,0.16411161354361972,0.2701525054466231,0.9377027027027027,0.0622972972972973,0.5509071581231613,62.5,0.046875,0.02598404884338379,0.004063844680786133,0.0010442733764648438
