Model,Accuracy,Precision,Recall,F1,Specificity,False Positive Rate,ROC-AUC
Stack All 5 → LR,0.9349,0.9513,0.9292,0.9401,0.9419,0.0581,0.9855
Stack All 5 → GB,0.9343,0.9624,0.9164,0.9388,0.9562,0.0438,0.9855
Stack RF+AB+GB → LR,0.9343,0.951,0.9284,0.9396,0.9414,0.0586,0.9855
Stack RF+AB+GB → GB,0.9343,0.9611,0.9177,0.9389,0.9545,0.0455,0.9853
Soft Voting (All 5),0.9206,0.9784,0.8749,0.9238,0.9764,0.0236,0.9824
Hard Voting (All 5),0.9192,0.9686,0.8818,0.9232,0.9651,0.0349,
