Model,Features,Accuracy,Precision,Recall,F1,Specificity,False Positive Rate,ROC-AUC,CPU Usage (%),RAM Usage (MB),Training Time (s),Prediction Time (s),Model Size (MB)
Random_Forest,145,0.9317919776685478,0.949417223039493,0.9253336274401677,0.9372207327971404,0.939692390717755,0.06030760928224501,0.979948509182496,73.5,141.58203125,4.338044881820679,0.13749241828918457,55.92408084869385
AdaBoost,145,0.8495661144486922,0.9400213732300294,0.7761111723833682,0.8502386274391349,0.9394225580140313,0.0605774419859687,0.9395694601518669,78.6,0.34765625,25.532880544662476,2.3567700386047363,0.062422752380371094
Gradient_Boosting,145,0.9181382365434796,0.9595141700404858,0.8887173265688761,0.9227598053249356,0.9541284403669725,0.045871559633027525,0.9794207254014919,67.75,28.15625,46.873316526412964,0.21321463584899902,0.13358306884765625
KNN,145,0.8320286425147156,0.81822774578155,0.8931289290834896,0.8540392322294874,0.7572854830005397,0.24271451699946034,0.9454810045454625,80.65,73.01171875,0.18192052841186523,11.765012741088867,73.42183494567871
Naive_Bayes,145,0.546877844529401,1.0,0.17646410058453732,0.2999906252929596,1.0,0.0,0.5893900959523547,95.9,0.0546875,0.367490291595459,0.07876896858215332,0.005164146423339844
